Keel	Murre	Murrak	Küla	Aasta	Isik	Vanus	Sugu	Kood	Kontekst
liivi	idaliivi		Irē?					Set_Sat_30	bet se sigād+paint kīskiz täm’ lå̄’igi .
liivi	idaliivi		Irē?					Set_Sat_30	bet sⁱedā ī’tə tu’bbə ta äb uo ti’end vāldiń .
liivi	idaliivi		Irē?					Set_Sat_30	ī’d izān um’ ve̮nd ikš lāiška puoga un ta tǟnda um’ så̄tən miŋgiz äb+miŋgiz amātəz , bet ta äb uo pi’e+vi̮ttən mit+ī’tə amātə , un siz se izā um’ andən täm’mən vālda kēv un mī̮k un kītən , laz ta ni läkkə . un ni tämā um’ lǟ’nd un ni ta = m’ nǟnd , ku sǟ’l um’ ve̮nd okš un sipriki un tsǟ’rm un ne umāt taplənd ī’d māita jūs .
liivi	idaliivi		Irē?					Set_Sat_30	iezə ni um’ su’ggən ( pro irgən? ) se lind iedə pa rištīŋgəks un ni lǟ’b sie nuoŕimiz tidār jū’rə un se tidār īrgəb kriwkə un ouŕə , ku rištīŋg um’ täm’ tubās .
liivi	idaliivi		Irē?					Set_Sat_30	kēńig kītən , ku täm’mən um’ zǟl täm’ je̮ŋgə , ku ta siz līb pagālam .
liivi	idaliivi		Irē?					Set_Sat_30	kurē kītən , kᵘolm okš joud täm’mən um’ , kᵘolm ki̮rdə ta ieb jo piškīzəks ku sipriki un kᵘolm ki̮rdə jo knaš äb ku tsǟ’rəm .
liivi	idaliivi		Irē?					Set_Sat_30	ni amād sⁱedā brīnistə , ku ikš seĺĺi knappə rištīŋg vi̮ib kuŕŕə no+kīskə .
liivi	idaliivi		Irē?					Set_Sat_30	ni at+ai’ləb izā un je̮mā , ki’zzəbəd mis täm’ pa vigā um’ .
liivi	idaliivi		Irē?					Set_Sat_30	ni kurē īrgiz kīskə sⁱedā sigād+paintə .
liivi	idaliivi		Irē?					Set_Sat_30	ni kurē um’ andən täm’ naizən umāŕi , bet ne äb uot ve̮nd umārd , ne ā’t ve̮nd ibīz+sitād .
liivi	idaliivi		Irē?					Set_Sat_30	ni kurē um’ lǟ’nd ulzə .
liivi	idaliivi		Irē?					Set_Sat_30	ni = m’ irgən se pe̮is lǟ’də tegīž un kītən sie neitst pǟlə , laz pī’ləg vā’giž , ku ta tǟnda tå̄’b [ pretsə  > ] kᵘo’žžə .
liivi	idaliivi		Irē?					Set_Sat_30	ni = m’ tund kurē brou’tšə un vi̮ttən täm’mən naiz je̮rā un ta = m’ ī’ž iend vǟ’rəd tagān .
liivi	idaliivi		Irē?					Set_Sat_30	ni = m’ tund se kurē tu’bbə .
liivi	idaliivi		Irē?					Set_Sat_30	ni = m’ tund tegīž izā un je̮mā un ki’zzənəd , mis täm’mən pa vigā um’ .
liivi	idaliivi		Irē?					Set_Sat_30	ni ne ā’t ienəd ma’ggəm tegīž .
liivi	idaliivi		Irē?					Set_Sat_30	ni ne kēńig+tidārd ā’t i’e+vańḱĺənd tǟnda un ne tå̄’št akkə täm vi’zzə un vīštə eńt́š nīnə un nä’gt́ist eńt́š izān un je̮mān , kui knaš lind ne umād lⁱewdənd , un ni se nuoŕimi tidār um’ vīnd eńt́š tu’bbə un ti’end sien seĺĺiz piškīz bou’gə .
liivi	idaliivi		Irē?					Set_Sat_30	ni nūziz se nīn må̄ pǟl , un ni ta vi̮tīz eńt́š naiz un lekš izā jū’r un ni ta is+kītiz sie izān , kui’ ta um’ no+je̮l’lən .
liivi	idaliivi		Irē?					Set_Sat_30	ni = pūtən täm’mən ikš vanā sańt vastə un ni ta sie vanā sańt kä’dst um’ ki’zzən vanād å̄’rənd , mis sie vanā sańtən umāt ve̮nd sǟlgas , un ta = m’ andən eńt́š ūd å̄’rənd vanā sańtən .
liivi	idaliivi		Irē?					Set_Sat_30	ni se izā āndiz täm’mən amā kēńig+valst , un ne je̮lābəd vel paldiń .
liivi	idaliivi		Irē?					Set_Sat_30	ni se izā um’ kītən , laz set iegə ma’ggəm dru’ošə , ” täs äb uo mittə midāgist . ”
liivi	idaliivi		Irē?					Set_Sat_30	ni se kēńig um’ andən täm’mən eńt́š nuoŕimiz tidār .
liivi	idaliivi		Irē?					Set_Sat_30	ni se kurē ka tuĺ’ un tå̄’ž vi̮ttə ī’d ve̮ŕ’kiz , bet ta iz vēĺ .
liivi	idaliivi		Irē?					Set_Sat_30	ni se kurē um’ lǟ’nd ulzə tegīž .
liivi	idaliivi		Irē?					Set_Sat_30	ni se mēldar täm’mən kītiz : ” min’nən um’ zǟl iĺ’ sin’ . ku minā äb vi̮i no+andə kurēn ve̮ŕ’kiz , siz tämā sieb sie sigād+paint je̮rā . ”
liivi	idaliivi		Irē?					Set_Sat_30	ni se miez äb uo täm’mən andən armə , laz ta ti’egə vāldiń sie tubā .
liivi	idaliivi		Irē?					Set_Sat_30	ni se neitst täm’mən kītiz , ku se äb vi̮i kunāgist no+tī’kə , ” mit+ikš äb vi̮i mēd́i no+ta’bbə , un kis äb vi̮i mēd́i nota’bbə , sien så̄b tutkām ti’edəd . ”
liivi	idaliivi		Irē?					Set_Sat_30	ni se pe̮is kītən nei’ : ” uońdžəl siz sa ti’e eńt́š lä’b vāldiń un teĺ mīnda silāstəm un siz minā līndab lä’bst ulzə . ”
liivi	idaliivi		Irē?					Set_Sat_30	ni se pe̮is um’ kītən , laz is+opātəg täm’mən , kis um’ vańīmi un nuoŕimi un sidāmi .
liivi	idaliivi		Irē?					Set_Sat_30	ni se vanā nai īrgiz täm’mən nīžə , ku sie kēńigən ā’t kᵘolm tidārtə , amād kᵘolm ī’d knaššəd ī’d pitkād un amād ī’tist ku mit+ikš äb uo vi̮ind kītə , miŋgi um’ nuoŕimi , miŋgi um’ sidāmi , miŋgi um’ vańīmi , un pǟgiń [ pretsnikidi  > ] kᵘožāliži kǟ’nd un mit+ikš āinagi äb uo vi̮ind ta’bbə , un kis äb uo vi̮ind nu’o+ta’bbə , sien um’ ra’d́d́əltəd [ raĺ’ĺətəd ] pǟ je̮rā un vaĺĺ pǟlə pandəd .
liivi	idaliivi		Irē?					Set_Sat_30	ni sie mēldarən äb uo ve̮nd sigād+paintə .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta ka um’ pu’ggən siezə tu’bbəz .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta kieriz tā’giž un lekš tegīž ne vǟ’rəd jū’r .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta kītiz , ku ta lǟ’b un laz amād tulgəd vańḱĺəm , ku ta lǟ’b .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta lekš .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = m iend pa rištīŋgəks tegīž .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = m’ irgən lǟ’də pits seĺĺist sūrdə mi̮tsə .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = m’ irgən sie kurēn pǟdə silāstə , laz ta kītəg , kui je̮n’nə täm’mən um’ joudə .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = m’ is+kītən tegīž nei’+ī’ž , ku ta = m’ nǟnd ī’d rištīŋg kǟ’m .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = m’ ī’ž tund kēńig jū’r un kītən , laz ta āndag eńt́š ī’d tidār täm’mən pa nāizəks .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta = mi̮tlən , koks līnd ī’dəks ki̮rdə jo ve’ggi äb ku okš .
liivi	idaliivi		Irē?					Set_Sat_30	ni ta mi̮tlən , koks ta līnd ī’dəks ki̮rdə jo piški äb ku sipriki . ni ta = m ve̮nd .
